Player,Total Complete,Total Missed,PercentageMade,TotalPassive,PercentagePassiveMissed
Abdellatif Boutaty,41,4,0.911111111,1,0.888888889
Aled De Malmanche,26,1,0.962962963,2,0.888888889
Alexandre Flanquart,50,5,0.909090909,4,0.836363636
Antoine Burban,109,5,0.956140351,10,0.868421053
Arthur Coville,2,0,1,1,0.5
Benjamin Epsinal,1,0,1,,1
Clement Daguin,13,9,0.590909091,4,0.409090909
Craig Burden,40,2,0.952380952,15,0.595238095
Djibril Camara,31,1,0.96875,,0.96875
Emmanuel Felsina,21,1,0.954545455,3,0.818181818
Etienne Swanepoel,7,0,1,1,0.857142857
Geoffrey Doumayrou,114,11,0.912,11,0.824
Gerhard Mostert,,1,0,,0
Giorgi Melikidze,34,5,0.871794872,3,0.794871795
Heinke Van der Merwe,108,9,0.923076923,14,0.803418803
Hugh Pyle,143,15,0.905063291,20,0.778481013
Hugo Bonneval,34,9,0.790697674,2,0.744186047
Jean Baptiste De Clercq,,1,0,,0
Jeremy Sinzelle,67,13,0.8375,11,0.7
Jonathan Danty,91,12,0.883495146,12,0.766990291
Jonathan Ross,160,21,0.883977901,17,0.790055249
Josaia Raisuqe,13,3,0.8125,1,0.75
Jules Plisson,61,27,0.693181818,11,0.568181818
Julien Arias,37,13,0.74,4,0.66
Julien Dupuy,14,11,0.56,3,0.44
Karim Qadiri,2,0,1,,1
Laurent Panis,62,4,0.939393939,5,0.863636364
Laurent Sempere,94,5,0.949494949,8,0.868686869
Mathieu De Giovanni,25,3,0.892857143,3,0.785714286
Mathieu Ugena,29,4,0.878787879,2,0.818181818
Meyer Bosman,73,13,0.848837209,14,0.686046512
Morne Steyn,48,6,0.888888889,7,0.759259259
Pascal Papé,35,6,0.853658537,4,0.756097561
Patrick Sio,13,2,0.866666667,1,0.8
Paul Alo-Emile,74,12,0.860465116,8,0.76744186
Paul Gabrillagues,276,8,0.971830986,17,0.911971831
Paul Williams,64,6,0.914285714,4,0.857142857
Rabah Slimani,107,14,0.884297521,10,0.801652893
Raphael Lakafia,158,5,0.969325153,15,0.877300613
Ratu Ratini,5,4,0.555555556,1,0.444444444
Remi Seneca,3,0,1,1,0.666666667
Remy Bonfils,113,7,0.941666667,16,0.808333333
Sakaria Taulafo,24,5,0.827586207,4,0.689655172
Sekou Macalou,89,8,0.917525773,8,0.835051546
Sergio Parisse,81,17,0.826530612,12,0.704081633
Sylvain Nicolas,128,13,0.907801418,11,0.829787234
Theo Millet,56,8,0.875,13,0.671875
Waisea Nayacalevu,87,29,0.75,5,0.706896552
Will Genia,37,8,0.822222222,7,0.666666667
Willem Alberts,78,16,0.829787234,5,0.776595745
Zurabi Zhvania,35,7,0.833333333,5,0.714285714
