Player,Type,Error,Offload,Pass,Kick,Pen Won,Pen Con,Tackled Dominant,Tackled Ineffective,Tackled Neutral
Abdellatif Boutaty,Carry Results,1,3,,,,,,1,8
Aled De Malmanche,Carry Results,1,1,,,,1,8,1,26
Alexandre Flanquart,Carry Results,2,5,,,,,7,,17
Antoine Burban,Carry Results,2,3,,,,1,11,1,36
Arthur Coville,Carry Results,,1,,,,,,,
Benjamin Epsinal,Carry Results,,,,,,,,1,
Clement Daguin,Carry Results,,3,9,2,,,3,2,4
Craig Burden,Carry Results,3,9,,,1,,7,1,4
Djibril Camara,Carry Results,3,4,9,,,1,10,,28
Emmanuel Felsina,Carry Results,,2,,,,,7,1,25
Etienne Swanepoel,Carry Results,,,,,,,,,1
Geoffrey Doumayrou,Carry Results,3,17,16,8,1,,12,1,58
Gerhard Mostert,Carry Results,,,,,,,,,4
Giorgi Melikidze,Carry Results,,,,,,,4,,10
Heinke Van der Merwe,Carry Results,1,,,,,,10,,29
Hugh Pyle,Carry Results,2,24,1,,,1,20,1,70
Hugo Bonneval,Carry Results,9,16,33,21,,2,22,3,56
Jean Baptiste De Clercq,Carry Results,,,,,,,,,1
Jeremy Sinzelle,Carry Results,9,14,14,5,,3,19,4,51
Jonathan Danty,Carry Results,2,21,7,1,,1,13,1,38
Jonathan Ross,Carry Results,3,12,5,,1,,28,5,68
Josaia Raisuqe,Carry Results,,7,1,,,,2,,6
Jules Plisson,Carry Results,1,9,20,17,,,2,,17
Julien Arias,Carry Results,1,9,8,4,,,8,1,32
Julien Dupuy,Carry Results,1,4,13,4,1,1,,,11
Karim Qadiri,Carry Results,,1,,,,,1,,3
Laurent Panis,Carry Results,1,1,,,,,1,,11
Laurent Sempere,Carry Results,2,2,3,1,1,2,3,4,25
Mathieu De Giovanni,Carry Results,,2,,,,,,1,3
Mathieu Ugena,Carry Results,,,,,,,7,,6
Meyer Bosman,Carry Results,1,13,10,2,,,11,1,26
Morne Steyn,Carry Results,2,1,2,9,,1,1,,6
Pascal Papé,Carry Results,,4,1,,,,4,,21
Patrick Sio,Carry Results,,,,,,,5,,8
Paul Alo-Emile,Carry Results,1,,2,,1,,5,1,35
Paul Gabrillagues,Carry Results,2,4,,,1,2,27,2,89
Paul Williams,Carry Results,,23,4,3,,1,12,3,32
Rabah Slimani,Carry Results,2,5,1,,1,,5,,23
Raphael Lakafia,Carry Results,3,7,2,,1,2,17,1,60
Ratu Ratini,Carry Results,,,1,,,,5,,5
Remi Seneca,Carry Results,,,,,,,,,1
Remy Bonfils,Carry Results,1,2,1,,,,8,1,28
Sakaria Taulafo,Carry Results,,2,,,,,3,,20
Sekou Macalou,Carry Results,7,7,1,,,,10,,25
Sergio Parisse,Carry Results,3,10,7,,1,1,20,4,94
Sylvain Nicolas,Carry Results,5,4,6,,,1,3,1,35
Theo Millet,Carry Results,2,9,3,,,3,7,1,19
Waisea Nayacalevu,Carry Results,5,8,12,2,,1,20,,59
Will Genia,Carry Results,6,8,16,11,,,9,1,20
Willem Alberts,Carry Results,5,3,3,,,,6,,37
Zurabi Zhvania,Carry Results,1,1,,2,,,4,,8
