Player,Type,Defender Beaten,Initial Break,Supported Break,Try Scored
Abdellatif Boutaty,Attacking Qualities,1,,,
Aled De Malmanche,Attacking Qualities,4,,,
Alexandre Flanquart,Attacking Qualities,5,,,
Antoine Burban,Attacking Qualities,14,2,1,2
Arthur Coville,Attacking Qualities,,,,
Benjamin Epsinal,Attacking Qualities,,,,
Clement Daguin,Attacking Qualities,5,2,4,2
Craig Burden,Attacking Qualities,6,3,1,1
Djibril Camara,Attacking Qualities,46,9,1,4
Emmanuel Felsina,Attacking Qualities,1,,,
Etienne Swanepoel,Attacking Qualities,,,,
Geoffrey Doumayrou,Attacking Qualities,18,1,4,5
Gerhard Mostert,Attacking Qualities,1,,,
Giorgi Melikidze,Attacking Qualities,1,,,
Heinke Van der Merwe,Attacking Qualities,,1,,
Hugh Pyle,Attacking Qualities,16,5,1,1
Hugo Bonneval,Attacking Qualities,26,14,5,5
Jean Baptiste De Clercq,Attacking Qualities,,,,
Jeremy Sinzelle,Attacking Qualities,24,13,1,4
Jonathan Danty,Attacking Qualities,18,4,,1
Jonathan Ross,Attacking Qualities,5,4,,2
Josaia Raisuqe,Attacking Qualities,9,3,1,1
Jules Plisson,Attacking Qualities,10,4,1,2
Julien Arias,Attacking Qualities,11,7,3,5
Julien Dupuy,Attacking Qualities,4,3,,
Karim Qadiri,Attacking Qualities,,,1,
Laurent Panis,Attacking Qualities,3,,,
Laurent Sempere,Attacking Qualities,1,,,
Mathieu De Giovanni,Attacking Qualities,,,,
Mathieu Ugena,Attacking Qualities,1,,,
Meyer Bosman,Attacking Qualities,11,2,2,
Morne Steyn,Attacking Qualities,5,,,
Pascal Papé,Attacking Qualities,1,,,1
Patrick Sio,Attacking Qualities,1,,,
Paul Alo-Emile,Attacking Qualities,4,1,,
Paul Gabrillagues,Attacking Qualities,14,2,,
Paul Williams,Attacking Qualities,8,2,,1
Rabah Slimani,Attacking Qualities,2,1,1,1
Raphael Lakafia,Attacking Qualities,3,4,,1
Ratu Ratini,Attacking Qualities,6,2,,1
Remi Seneca,Attacking Qualities,,,,
Remy Bonfils,Attacking Qualities,5,1,1,1
Sakaria Taulafo,Attacking Qualities,,,,
Sekou Macalou,Attacking Qualities,13,6,1,3
Sergio Parisse,Attacking Qualities,18,3,1,3
Sylvain Nicolas,Attacking Qualities,3,6,2,1
Theo Millet,Attacking Qualities,7,,1,
Waisea Nayacalevu,Attacking Qualities,33,23,2,14
Will Genia,Attacking Qualities,18,8,,2
Willem Alberts,Attacking Qualities,6,1,,
Zurabi Zhvania,Attacking Qualities,1,,,
