Player,Position,Country,PreviousPlayer
Remi Bonfils,Hooker,France ,N
Craig Burden,Hooker,South ,Y
Laurent Panis,Hooker,France ,Y
Laurent Sempere,Hooker,France ,Y
Paul Alo-Emile,Prop,Samoa ,Y
Lorenzo Cittadini,Prop,Italy ,N
Elies El Ansari,Prop,France ,N
Emmanuel Felsina,Prop,France ,Y
Sakaria Taulafo,Prop,Samoa ,Y
Heinke Van der Merwe,Prop,South ,Y
Zurabi Zhvania,Prop,Georgia ,N
Steevy Cerqueira,Lock,France ,N
Alexandre Flanquart,Lock,France ,Y
Paul Gabrillagues,Lock,France ,Y
Hugh Pyle,Lock,Australia ,Y
Willem Alberts,Flanker,South ,Y
Antoine Burban,Flanker,France ,Y
Bakary Meite,Flanker,Ivory ,N
Sylvain Nicolas,Flanker,France ,Y
Simone Favaro,Flanker,Italy ,N
Sergio Parisse,Flanker,Italy ,Y
Terry Bouhraoua,Scrum-half,France ,N
Arthur Coville,Scrum-half,France ,Y
Clement Daguin,Scrum-half,France ,Y
Meyer Bosman,Fly-half,South ,Y
Jules Plisson,Fly-half,France ,Y
Morne Steyn,Fly-half,South ,Y
Jonathan Danty,Centre,France ,Y
George Pisi,Centre,Samoa ,N
Paul Williams,Centre,Samoa ,Y
Jimmy Yobo,Centre,France ,N
Julien Arias,Wing,France ,Y
Romain Martial,Wing,France ,N
Waisea Nayacalevu,Wing,Fiji ,Y
Djibril Camara,Fullback,France ,Y
Tony Ensor,Fullback,New Zealand,N
