Round,Game,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,PensConceded,Free Kicks,Scrum Pens,LO Pens,Tackle Ruck & Maul Pens,Gen Play Pens,Control Pens,YellowCards,RedCards
42602,Stade Francais v Grenoble,5,7,4,0,1,0,124,408,20,9,156,70,7,9,22,11,0,9,0,8,1,98,3,11,2,3,0,8,0,0,1,0
42609,Brive v Stade Francais,2,2,2,0,4,0,104,340,23,7,145,62,8,15,12,6,1,13,3,4,3,87,2,13,1,3,1,8,1,0,1,0
42616,Stade Francais v Clermont Auvergne,4,2,2,0,3,0,109,578,18,13,114,92,24,10,24,3,6,7,1,4,3,64,4,14,1,4,0,7,2,1,0,0
42623,Stade Francais v Castres,2,5,2,0,3,0,109,402,10,7,112,90,23,8,25,3,9,5,2,6,2,84,1,12,1,3,0,7,0,2,1,1
42630,Pau v Stade Francais,0,2,0,0,2,0,125,244,8,5,181,73,7,5,20,2,4,10,3,7,2,111,6,15,1,2,0,8,1,4,2,0
42637,Toulouse v Stade Francais,2,2,1,0,4,0,140,480,27,11,157,114,13,13,22,8,10,10,4,7,1,102,4,12,2,3,0,5,2,1,0,1
42645,Stade Francais v La Rochelle,4,1,4,0,2,1,113,402,16,9,133,179,13,16,19,7,9,5,1,4,1,77,3,18,1,4,0,11,0,3,2,0
42651,Racing 92 v Stade Francais,1,5,1,0,1,0,126,466,17,5,175,88,3,13,8,8,9,8,3,4,2,105,6,10,0,2,1,5,2,0,1,0
42672,Stade Francais v Lyon,1,6,1,0,0,0,93,235,4,5,109,97,9,8,28,1,10,12,2,8,2,71,3,9,1,3,0,4,2,0,0,0
42679,Bordeaux Begles v Stade Francais,3,0,2,0,4,0,106,375,14,13,120,138,21,13,15,6,3,10,2,4,3,70,2,8,0,2,0,3,3,0,1,0
42687,Toulon v Stade Francais,2,0,1,0,2,0,69,224,18,9,87,93,8,9,17,6,3,15,3,4,2,46,5,17,1,4,1,9,0,3,1,0
42694,Stade Francais v Montpellier,0,7,0,0,2,0,79,209,8,2,114,76,7,11,29,5,8,16,2,9,1,73,2,6,1,1,0,4,1,0,0,0
42707,Stade Francais v Bayonne,8,1,4,0,4,0,96,738,21,19,131,165,20,16,20,17,12,7,2,4,2,41,1,20,0,4,0,11,5,0,1,0
42727,Clermont Auvergne v Stade Francais,2,0,0,0,2,0,80,271,15,6,110,111,13,14,18,4,5,12,4,4,2,55,3,11,1,5,0,3,2,1,1,0
42735,Stade Francais v Brive,0,4,0,0,1,0,72,310,21,7,104,109,17,13,36,4,5,12,3,8,1,57,2,8,1,3,1,2,0,2,1,0
42743,Stade Francais v Toulouse,0,4,0,1,0,0,71,304,6,4,97,146,12,16,21,2,4,11,0,2,0,47,3,16,0,3,0,8,4,1,1,0
42763,Grenoble v Stade Francais,3,1,2,0,1,0,92,325,8,8,127,118,26,11,20,5,3,6,1,3,3,53,1,13,1,4,0,4,2,3,1,0
42784,La Rochelle v Stade Francais,2,2,1,0,1,0,61,189,7,7,98,121,20,9,17,4,3,9,3,5,2,37,2,16,0,4,1,6,3,2,1,0
42799,Stade Francais v Bordeaux Begles,3,5,1,0,4,0,111,441,17,9,128,127,11,15,32,6,10,7,1,9,0,74,4,11,0,1,0,6,3,1,1,0
42805,Lyon v Stade Francais,3,4,3,0,1,0,88,427,26,8,102,114,9,5,27,8,4,10,0,4,3,60,1,18,1,7,0,6,3,2,2,1
42820,Stade Francais v Toulon,1,4,0,0,4,0,93,364,12,8,108,110,6,10,21,4,11,5,2,4,4,61,1,14,0,9,0,3,2,0,3,0
42833,Bayonne v Stade Francais,4,2,3,0,2,0,79,533,21,11,94,140,18,14,16,13,16,9,5,4,2,35,0,21,3,6,2,7,2,3,1,0
42840,Stade Francais v Pau,7,2,5,0,2,1,104,529,17,15,145,132,22,14,18,19,13,14,0,6,2,60,1,15,2,3,1,9,1,1,1,0
42844,Castres v Stade Francais,1,1,1,0,0,0,98,423,11,4,115,163,31,13,12,6,7,7,6,2,5,57,3,15,1,5,1,6,3,0,1,0
42855,Stade Francais v Racing 92,3,2,3,0,2,0,86,400,11,6,88,159,25,15,22,6,9,10,3,6,1,48,4,11,0,1,1,3,2,3,1,1
42861,Montpellier v Stade Francais,3,3,1,0,4,0,87,337,13,11,129,126,16,11,20,8,6,5,3,11,1,56,2,10,1,2,1,4,2,1,1,0
